Caller_ID,Timestamp,Caller_Location,Receiver_Location,Service_Type,Call_Duration_Seconds,Data_Transferred_MB,Network_Tower_ID,Customer_Plan,Call_Direction,Roaming_Status,Network_Congestion_Level,Signal_Strength,Time_to_Connect_Seconds,Allocated_Bandwidth_MB
24,12/8/2022 14:00,Bengaluru,Ahmedabad,Video,833,175.431434,Tower_15,Postpaid,Outgoing,No,Medium,-83.26835831,2.968877976,297.6721682
25,3/3/2022 13:08,Ahmedabad,Mumbai,Voice,142,7.424332464,Tower_12,Prepaid,Incoming,Yes,High,-79.92870817,5.475236553,
26,12/30/2022 17:57,Surat,Delhi,Voice,680,27.41132041,Tower_2,Postpaid,Incoming,No,High,-69.89283907,1.463308761,156.0328894
27,9/20/2022 1:30,Lucknow,Lucknow,Voice,254,63.80078313,Tower_2,Prepaid,Outgoing,Yes,Medium,-68.76261667,5.030048481,37.96524623
28,1/21/2023 8:06,Delhi,Hyderabad,Voice,846,67.54141919,Tower_11,Prepaid,Incoming,Yes,Low,-75.21382176,3.179439444,329.285072
29,2/15/2022 14:05,Bengaluru,Pune,Data,227,,Tower_16,Postpaid,Incoming,Yes,Medium,-58.066195,2.356457896,
30,3/23/2022 11:43,Pune,Lucknow,Video,493,29.97981936,Tower_4,Postpaid,Incoming,No,Medium,-89.33648684,5.608837525,165.8062393
31,12/2/2023 18:48,Delhi,Mumbai,Video,1088,348.5594917,,,Incoming,No,Medium,-52.53080045,2.237688497,495.6394229
32,11/1/2022 13:30,Chennai,Hyderabad,Voice,502,21.69809045,Tower_10,Prepaid,Outgoing,Yes,Medium,-79.68233489,6.939856414,199.5782086
33,3/25/2022 5:06,Lucknow,Lucknow,Voice,31,99.62911628,Tower_12,Postpaid,,No,Medium,-67.66826186,8.943727089,61.55570803
34,8/11/2022 18:59,Kolkata,Lucknow,Voice,262,35.57174789,Tower_16,Prepaid,Outgoing,No,High,-56.13355431,8.706918627,66.6638009
35,9/26/2023 5:09,Nagpur,Kolkata,Data,449,89.95686466,Tower_3,Prepaid,Incoming,Yes,Medium,-75.10868934,9.461200982,112.311325
36,10/27/2022 3:49,Kolkata,Pune,Voice,937,49.07576161,Tower_3,Postpaid,Incoming,Yes,High,-63.92154962,3.018423785,205.054983
37,12/11/2022 2:22,Pune,Delhi,Voice,997,33.21457012,Tower_8,Postpaid,Outgoing,No,Low,-56.03106358,6.918516031,290.3711392
38,4/22/2023 23:44,Lucknow,Delhi,Data,489,51.37259361,Tower_14,Postpaid,Outgoing,Yes,Medium,-66.4051661,9.810035724,99.42169386
39,11/21/2023 11:47,Pune,Ahmedabad,Video,312,222.8532391,Tower_1,Prepaid,Outgoing,No,Medium,-66.92384461,5.432659244,167.8028361
40,11/29/2022 0:06,Kolkata,Hyderabad,Data,545,3.407280677,Tower_17,Prepaid,Incoming,Yes,Low,-88.25584913,9.950954597,140.7686576
41,6/12/2022 22:53,Hyderabad,Mumbai,Data,75,91.57157463,Tower_3,Prepaid,Incoming,Yes,Medium,-60.09124904,9.577646623,141.7852985
42,3/2/2023 23:29,Pune,Ahmedabad,Video,331,483.6608613,Tower_3,Prepaid,Outgoing,Yes,Low,-50.78673665,1.678116304,293.5980586
43,9/28/2022 13:43,Chennai,Nagpur,Voice,190,32.37527851,Tower_18,Prepaid,,Yes,Medium,-67.7279495,9.425392967,86.76338133
44,6/19/2023 8:23,Kolkata,Chennai,Video,317,338.8603232,Tower_2,Prepaid,Outgoing,No,High,-79.83345404,3.657615296,187.6820987
45,5/12/2023 7:42,Bengaluru,Lucknow,Data,133,70.00455836,Tower_11,,Outgoing,No,Low,-61.64356012,5.975379792,104.9713123
46,2/4/2023 23:09,Lucknow,Pune,Voice,567,81.20122607,Tower_13,Prepaid,,Yes,High,-86.73623278,1.046663765,118.2684442
47,3/8/2023 13:06,Bengaluru,Kolkata,Data,49,65.34642915,Tower_14,Postpaid,Incoming,Yes,Low,-58.16829322,9.010048076,105.5179405
48,3/8/2023 22:53,Kolkata,Kolkata,Voice,121,58.30762466,Tower_19,Postpaid,Incoming,Yes,High,-71.37607927,5.883801712,99.84984706
49,5/12/2023 19:41,Lucknow,Lucknow,Video,343,431.598263,Tower_17,Prepaid,Outgoing,No,High,-88.50607245,8.403405046,186.1019626
50,9/5/2022 0:02,Hyderabad,Mumbai,,473,33.33847294,Tower_8,Prepaid,Incoming,No,Low,-59.20025788,2.942389247,143.9880512
51,7/13/2023 5:11,Chennai,Ahmedabad,Voice,225,84.36028443,Tower_15,Postpaid,Incoming,Yes,Low,-62.01951157,2.245177832,138.5465483
52,1/7/2023 12:23,Delhi,Ahmedabad,Data,969,52.11373448,Tower_19,Prepaid,Incoming,No,High,-58.19255221,3.437490261,351.9440361
53,5/15/2023 20:53,Hyderabad,Ahmedabad,Video,375,22.42186427,Tower_9,Prepaid,Outgoing,No,Low,-62.46000397,1.52374236,163.4969153
54,6/6/2023 23:26,Jaipur,Nagpur,Data,125,55.37343981,Tower_16,Postpaid,Outgoing,No,Medium,-82.68536012,9.411525976,80.71493393
55,8/31/2023 16:06,Jaipur,Delhi,Video,218,371.5694892,Tower_5,Postpaid,Incoming,No,High,-65.53117015,4.776400562,181.1878358
56,4/30/2023 7:31,Hyderabad,Chennai,Video,464,381.3445941,Tower_14,Postpaid,Incoming,Yes,High,-86.32803737,1.847412894,343.8125089
57,8/28/2023 20:03,Lucknow,Kolkata,Data,482,47.94320908,Tower_16,Postpaid,Incoming,Yes,Low,-57.72348092,4.11673889,92.58872598
58,5/28/2023 16:25,Nagpur,Chennai,Video,386,205.2673199,Tower_10,,Incoming,No,Low,-52.03417074,8.980123486,128.076545
59,5/25/2022 17:55,Surat,Chennai,Data,471,50.60294851,Tower_5,Postpaid,,Yes,High,-62.64144922,6.54266048,149.287348
60,11/20/2023 0:23,Ahmedabad,Bengaluru,Voice,287,3.624619744,Tower_12,Postpaid,Incoming,Yes,Low,-74.47320295,6.789593966,
61,11/9/2023 20:13,Ahmedabad,Hyderabad,Video,456,471.3177563,Tower_3,Postpaid,Outgoing,Yes,High,-57.18292625,6.863362947,
62,1/22/2023 13:29,Hyderabad,Kolkata,,884,7.866768787,Tower_14,Postpaid,Outgoing,No,Low,-89.27112697,1.849986647,277.3499555
63,3/8/2022 22:25,Ahmedabad,Ahmedabad,Data,119,32.5785874,Tower_10,Postpaid,,Yes,High,-89.06912257,8.330216343,
64,3/16/2022 9:41,Lucknow,Lucknow,Data,225,69.59614551,Tower_18,Postpaid,Outgoing,No,Low,-64.84228613,8.897248122,60.10250589
65,5/30/2022 16:09,Pune,Mumbai,Voice,306,96.7904746,Tower_4,Prepaid,Incoming,No,Low,-82.90241825,7.755532765,163.8343277
66,12/5/2023 19:41,Kolkata,Nagpur,,698,212.1826617,Tower_18,Postpaid,Outgoing,No,High,-79.99934203,6.224896111,247.5246747
67,2/16/2023 10:41,Lucknow,Ahmedabad,,66,126.9124613,Tower_13,Postpaid,Outgoing,No,High,-60.40364958,3.144125372,78.42253741
68,12/29/2022 6:38,Surat,Pune,Video,661,253.3149834,Tower_13,Postpaid,Outgoing,No,High,-54.17907086,4.502815109,250.7326296
69,10/16/2023 20:33,Chennai,Ahmedabad,Voice,832,84.86717127,Tower_9,Prepaid,Outgoing,No,Medium,-77.2274545,9.550557703,264.4840786
70,9/1/2022 12:31,Bengaluru,Nagpur,Voice,535,63.551884,Tower_5,Postpaid,Incoming,No,Medium,-78.27156913,3.957980908,203.5335879
71,9/8/2023 20:13,Chennai,Kolkata,Video,513,473.635326,Tower_16,Postpaid,Outgoing,No,Medium,-58.41527429,1.820854927,329.1637229
72,8/5/2023 5:18,Mumbai,Bengaluru,Data,427,55.40335935,Tower_5,Prepaid,Incoming,No,Medium,-60.51857773,5.913241931,242.4741315
73,7/26/2022 22:35,Lucknow,Ahmedabad,Voice,38,76.38955254,Tower_12,Prepaid,Outgoing,No,High,-55.32525179,8.546326874,41.40931054
74,11/23/2022 14:14,Nagpur,Pune,Video,197,45.65387312,Tower_18,Postpaid,Incoming,No,Low,-54.32412365,2.319443395,74.44818915
75,1/14/2023 9:02,Pune,Chennai,Data,1021,98.67731827,Tower_16,Prepaid,Outgoing,No,Medium,-55.47445912,8.923239718,248.9081808
76,2/9/2022 22:18,Lucknow,Chennai,Video,356,,,Prepaid,Outgoing,No,Low,-75.99127013,7.37363076,
77,9/14/2023 2:11,Ahmedabad,Mumbai,Data,211,70.80335207,Tower_10,Postpaid,Incoming,No,Low,-53.7458246,2.000777341,
78,9/3/2023 18:27,Nagpur,Jaipur,Voice,249,57.5758295,Tower_8,Postpaid,Outgoing,Yes,Low,-85.29895013,6.842892719,40.43748209
79,1/6/2022 0:57,Lucknow,Mumbai,Voice,947,,Tower_17,Prepaid,Outgoing,No,Medium,-86.68434713,5.755331092,
80,3/22/2022 7:03,Lucknow,Surat,Voice,87,2.203292994,Tower_13,Prepaid,Outgoing,No,Low,-88.27360352,9.020288023,6.914254347
81,5/11/2022 15:46,Bengaluru,Surat,Video,232,460.3667005,Tower_4,Postpaid,Incoming,Yes,Medium,-67.84582862,9.723722821,300.0139644
82,3/16/2023 3:16,Delhi,Ahmedabad,,262,22.46410155,Tower_15,Prepaid,Outgoing,No,High,-71.81835741,6.648022721,164.8049977
83,5/2/2023 5:48,Kolkata,Lucknow,Voice,500,5.499191654,Tower_12,Postpaid,Outgoing,Yes,Medium,-51.6519037,1.52077508,172.8844747
84,5/17/2022 12:44,Bengaluru,Chennai,Voice,437,62.39312718,Tower_8,Prepaid,Incoming,Yes,Low,-83.21280384,6.821635255,195.588333
85,9/23/2023 2:50,Chennai,Kolkata,Video,345,295.9914948,Tower_5,Prepaid,Incoming,No,Low,-51.02420769,9.8758967,206.690689
86,8/12/2022 3:29,Nagpur,Mumbai,Data,174,28.69658721,Tower_13,,,No,Medium,-62.6107531,2.463552454,30.75642264
87,11/4/2023 17:18,Kolkata,Chennai,Voice,282,94.11265089,Tower_19,Postpaid,Incoming,No,Medium,-60.97121966,6.520736763,122.9411145
88,5/19/2023 13:15,Lucknow,Nagpur,Video,271,280.2780575,Tower_5,Postpaid,Incoming,Yes,Medium,-88.94532102,4.388170302,145.3395371
89,7/24/2023 17:10,Lucknow,Pune,Voice,253,98.54331902,Tower_11,Prepaid,Incoming,No,Medium,-66.23477139,4.42801771,74.09307564
90,12/10/2023 14:50,Ahmedabad,Pune,Voice,1060,7.287671129,Tower_9,Postpaid,Outgoing,Yes,High,-73.40721991,3.460663647,
91,1/12/2023 20:37,Jaipur,Nagpur,Video,1117,,Tower_5,,Incoming,Yes,High,-50.01129307,9.969731534,
92,6/14/2023 2:15,Hyderabad,Mumbai,Video,594,472.9352076,Tower_10,Postpaid,Outgoing,Yes,High,-74.88597803,3.169763491,395.0449883
93,10/24/2022 8:56,Bengaluru,Hyderabad,Data,600,95.4510517,,Prepaid,Outgoing,Yes,High,-81.71089404,8.903986007,225.6194202
94,5/23/2023 4:40,Ahmedabad,Nagpur,Data,63,36.45810909,Tower_8,Prepaid,Incoming,Yes,High,-89.11261032,5.48348668,
95,8/7/2023 9:43,Pune,Chennai,Voice,335,85.36596853,Tower_12,Postpaid,Incoming,No,Low,-67.56248114,8.889882424,135.9420477
96,11/19/2023 19:43,Chennai,Kolkata,Data,332,42.63304209,Tower_5,Prepaid,,Yes,Medium,-65.18761795,7.336717913,106.7569289
97,5/7/2022 16:14,Lucknow,Kolkata,Voice,451,62.1091075,Tower_2,Prepaid,Incoming,Yes,High,-75.97649765,6.309259182,124.4426395
98,10/12/2022 4:20,Hyderabad,Nagpur,Video,1034,453.0377603,Tower_6,Postpaid,Outgoing,Yes,Medium,-71.9635821,9.194241506,471.817797
99,6/7/2023 1:15,Bengaluru,Nagpur,Data,135,86.37400717,Tower_5,Prepaid,Outgoing,Yes,Low,-58.14112897,5.134121272,143.1574943
100,9/13/2023 0:20,Mumbai,Hyderabad,Voice,537,7.557361807,Tower_5,Prepaid,Incoming,Yes,Low,-50.79869699,5.433562846,229.6956697
101,12/24/2022 23:08,Lucknow,Mumbai,Data,642,24.77441626,Tower_19,Postpaid,Outgoing,No,Medium,-68.50946333,5.141072431,115.3287979
102,5/6/2023 13:23,Jaipur,Pune,Video,403,351.8571111,Tower_4,Prepaid,Outgoing,Yes,Medium,-82.72479662,4.11100555,196.563014
103,8/25/2023 7:37,Kolkata,Jaipur,Data,224,52.00836943,Tower_18,Prepaid,,Yes,Low,-65.92258418,3.014641593,95.62311205
104,1/9/2022 15:29,Pune,Mumbai,Voice,1065,28.58044356,Tower_6,Prepaid,Outgoing,Yes,Low,-85.17456516,5.147008912,281.1186214
105,3/16/2023 9:43,Delhi,Hyderabad,Voice,575,13.74609143,,Prepaid,Incoming,No,Medium,-77.13668941,1.830615276,243.977265
106,2/5/2023 20:53,Nagpur,Hyderabad,Data,243,9.094144163,Tower_11,Postpaid,Outgoing,No,High,-53.16510398,1.549701639,80.31359775
107,8/11/2023 16:36,Kolkata,Chennai,Video,286,51.41333376,Tower_3,Postpaid,Outgoing,Yes,High,-82.61915923,2.88414391,141.4860854
108,12/3/2022 20:02,Delhi,Ahmedabad,Data,1125,62.20722238,Tower_14,Prepaid,Incoming,Yes,Medium,-71.49861135,7.727238443,422.2871853
109,9/5/2023 5:00,Kolkata,Nagpur,Video,341,,Tower_3,Prepaid,Outgoing,Yes,Medium,-54.19172649,5.605096979,
110,10/12/2023 5:58,Jaipur,Bengaluru,Data,873,45.29382432,Tower_3,Postpaid,Incoming,No,Medium,-74.1134467,1.943822499,192.6327621
111,12/6/2023 15:32,Mumbai,Chennai,Video,627,19.83488691,Tower_17,Prepaid,Incoming,No,Medium,-81.54207972,3.94747617,232.0014165
112,9/30/2023 16:23,Nagpur,Nagpur,Data,174,34.94975956,Tower_4,,Outgoing,Yes,Low,-75.79582787,6.839405563,48.96416265
113,9/15/2022 2:14,Kolkata,Hyderabad,Voice,257,54.17354764,Tower_2,Prepaid,Outgoing,No,High,-67.69030936,6.278818912,98.68029487
114,11/13/2023 12:03,Bengaluru,Delhi,Data,583,29.09381467,,Prepaid,Incoming,Yes,Medium,-54.01410411,6.467997001,277.7496506
115,4/9/2022 15:36,Jaipur,Chennai,Voice,344,98.66500963,Tower_5,Prepaid,Outgoing,Yes,Low,-52.65232705,1.067809268,133.0997991
116,5/24/2023 4:06,Chennai,Delhi,Voice,532,49.29317028,Tower_11,Prepaid,Outgoing,No,High,-86.48449502,8.252783981,216.057224
117,8/3/2023 18:09,Lucknow,Delhi,Data,166,8.943140821,Tower_19,Prepaid,Outgoing,Yes,Low,-89.27030074,7.272653161,55.75438184
118,6/5/2023 0:13,Jaipur,Bengaluru,Data,35,40.38770431,Tower_11,Prepaid,Incoming,Yes,Low,-55.37971496,8.353648639,42.20036792
119,10/31/2022 3:30,Jaipur,Lucknow,Voice,1103,72.56671357,Tower_2,Postpaid,,No,High,-67.72948428,6.144514205,256.7411022
120,1/10/2023 20:49,Lucknow,Surat,Video,899,110.4880045,Tower_4,Postpaid,Incoming,Yes,Medium,-72.98254246,5.568493408,211.1716098
121,12/1/2022 20:58,Pune,Jaipur,Video,1158,356.5427469,Tower_14,Postpaid,Outgoing,Yes,Medium,-78.45477787,6.231143993,431.086492
122,11/20/2023 5:48,Lucknow,Ahmedabad,Video,288,35.39353304,Tower_18,Prepaid,Incoming,No,Low,-71.82928111,5.937428061,48.91447131
123,11/3/2022 20:12,Lucknow,Chennai,Voice,42,68.77258324,Tower_1,Prepaid,Incoming,Yes,High,-84.44700906,1.024398095,59.21239858
124,3/22/2022 23:46,Hyderabad,Hyderabad,,579,41.7722505,Tower_17,Postpaid,,No,Medium,-55.9709016,7.71377073,196.3348509
125,12/17/2022 17:34,Chennai,Mumbai,,975,495.5554435,,Prepaid,Incoming,No,Low,-82.75067735,1.598466406,443.1662445
126,5/7/2023 17:58,Hyderabad,Jaipur,Video,378,78.48846455,,Postpaid,Incoming,No,Low,-59.97992301,8.195834178,243.7116817
127,10/5/2023 20:22,Kolkata,Hyderabad,Voice,764,81.6428973,Tower_14,Prepaid,Outgoing,No,Low,-69.07738301,4.229474357,169.7141257
128,11/13/2022 21:51,Bengaluru,Hyderabad,Video,118,344.6612111,Tower_8,Prepaid,Incoming,No,Medium,-72.43460366,4.392499865,193.55783
129,6/29/2023 21:32,Ahmedabad,Mumbai,Video,451,274.4927203,Tower_15,Postpaid,Incoming,Yes,Medium,-66.90054916,4.198262066,
130,5/15/2022 1:06,Lucknow,Lucknow,Video,133,315.876618,Tower_19,,Outgoing,Yes,Medium,-72.73887427,3.995342073,105.0748215
131,4/29/2022 20:56,Nagpur,Kolkata,Data,583,14.78793519,Tower_15,Postpaid,Outgoing,No,High,-54.85483539,5.458812638,78.26349878
132,6/3/2022 11:23,Bengaluru,Delhi,Data,449,99.77156898,Tower_1,Prepaid,Incoming,No,High,-61.72078155,8.007147451,212.2660784
133,1/8/2023 17:55,Lucknow,Chennai,Video,795,,Tower_10,Prepaid,Incoming,Yes,Low,-70.24074051,7.791717627,
134,1/10/2022 21:09,Kolkata,Kolkata,Data,758,38.50333499,Tower_13,Prepaid,Incoming,Yes,Medium,-84.90045351,4.575585615,181.688958
135,9/25/2023 18:57,Surat,Kolkata,Video,290,248.3151662,Tower_4,Postpaid,Incoming,Yes,Medium,-61.10989726,7.480328829,124.7863003
136,8/1/2022 6:59,Hyderabad,Mumbai,Video,321,360.9277466,Tower_5,Prepaid,Outgoing,No,Low,-56.92804689,9.631673151,284.95869
137,8/22/2023 0:44,Lucknow,Delhi,Voice,163,40.68429026,Tower_15,,Incoming,No,Low,-78.48281534,6.534552368,16.70233077
138,10/10/2022 12:41,Bengaluru,Hyderabad,Data,809,61.53396931,Tower_15,Prepaid,Incoming,Yes,Medium,-60.95617656,6.336666147,263.8750343
139,11/23/2022 17:39,Nagpur,Bengaluru,Video,353,397.1414722,Tower_5,Postpaid,Incoming,Yes,Low,-61.71045463,2.372851386,145.7951048
140,12/5/2023 6:20,Ahmedabad,Lucknow,Video,977,43.77155429,Tower_19,Prepaid,Incoming,Yes,High,-60.54223058,9.409303133,
141,7/16/2022 7:49,Surat,Chennai,Video,436,70.1772831,Tower_5,Prepaid,Outgoing,No,Medium,-50.60635204,8.550082778,127.2683281
142,1/17/2022 23:31,Mumbai,Lucknow,Voice,600,87.11973984,Tower_19,Postpaid,Outgoing,No,Low,-66.34898257,4.591024335,291.4822307
143,12/25/2023 3:53,Mumbai,Delhi,Voice,736,21.35240103,Tower_9,Prepaid,Outgoing,No,Medium,-85.429308,4.730541258,234.7494252
144,3/8/2022 0:07,Hyderabad,Kolkata,Voice,415,47.10431211,Tower_2,Postpaid,,Yes,High,-53.261811,6.283614017,181.7268556
145,1/9/2022 15:08,Lucknow,Hyderabad,Voice,778,25.57441783,Tower_7,Postpaid,Outgoing,No,High,-83.3794673,1.304912442,128.7016728
146,11/10/2023 8:46,Jaipur,Pune,,314,294.4882916,Tower_18,Prepaid,Incoming,No,High,-63.45850512,2.602323702,135.6345629
147,10/29/2023 1:36,Surat,Chennai,Data,747,42.04778825,Tower_8,Postpaid,Incoming,Yes,Medium,-69.91219959,6.358465156,125.4096239
148,12/9/2023 0:07,Lucknow,Chennai,Video,814,219.1265636,Tower_19,Prepaid,Outgoing,No,Medium,-76.02452004,5.214086456,147.0978436
149,1/23/2023 16:09,Hyderabad,Pune,Data,1076,47.73462757,Tower_8,Postpaid,Incoming,No,Low,-66.50185583,3.646402113,322.5620736
150,12/18/2023 19:26,Pune,Jaipur,Data,793,53.91113323,Tower_17,Prepaid,Outgoing,Yes,High,-73.96947756,6.036762982,211.6264552
151,11/12/2022 2:02,Hyderabad,Kolkata,Voice,293,86.31677648,Tower_7,Postpaid,Incoming,Yes,Medium,-59.87015117,3.450716692,139.4064168
152,11/14/2022 22:59,Chennai,Bengaluru,Data,191,41.46468294,Tower_18,Postpaid,Incoming,Yes,Medium,-55.3202496,4.671860458,81.4224696
153,7/28/2022 13:42,Ahmedabad,Jaipur,Voice,472,51.04528003,Tower_8,Prepaid,,No,Medium,-85.83565672,8.199244768,
154,8/20/2022 23:17,Jaipur,Nagpur,Voice,293,10.84469788,Tower_14,Postpaid,Outgoing,No,Medium,-65.87210391,8.261651341,56.14669691
155,2/4/2023 11:47,Hyderabad,Mumbai,Video,529,337.3617169,Tower_14,Postpaid,Outgoing,Yes,High,-78.27409079,9.067022367,309.3720551
156,1/16/2023 9:58,Kolkata,Chennai,Video,750,425.5827668,Tower_16,Postpaid,Outgoing,No,Low,-82.7425826,6.247374049,271.3214921
157,11/14/2022 17:26,Nagpur,Jaipur,Data,543,91.15177635,Tower_5,Postpaid,Incoming,No,High,-76.32730593,3.334810901,143.5710111
158,12/31/2023 10:51,Kolkata,Surat,Data,1070,4.388582971,Tower_5,Postpaid,Outgoing,No,Low,-76.1923142,7.964510709,235.6698941
159,8/22/2022 21:59,Delhi,Delhi,,82,30.15211019,,Prepaid,Incoming,No,Low,-84.39547297,8.816211783,61.65088615
160,5/13/2023 19:11,Pune,Kolkata,Voice,157,19.02860674,Tower_18,Postpaid,Incoming,Yes,High,-89.10122767,3.418096234,91.77840917
161,8/29/2023 17:17,Chennai,Mumbai,Video,266,207.2495214,Tower_9,Prepaid,Incoming,Yes,High,-84.42575704,8.514372131,144.3713762
162,10/31/2022 6:02,Bengaluru,Lucknow,Video,1041,451.2804276,Tower_2,Postpaid,Outgoing,Yes,Medium,-79.10770694,1.165516089,495.5048203
163,12/29/2023 15:38,Lucknow,Chennai,,641,58.07513108,Tower_6,Postpaid,Outgoing,Yes,Low,-87.312984,4.647232792,137.6446398
164,1/26/2022 17:30,Surat,Mumbai,Data,1187,21.4357059,Tower_10,Prepaid,Outgoing,Yes,Medium,-84.39925845,3.373154224,223.9780426
165,4/28/2023 18:16,Bengaluru,Mumbai,Video,197,132.8580237,Tower_13,Prepaid,Incoming,Yes,High,-63.39853302,2.578341508,183.4334771
166,10/18/2023 23:29,Jaipur,Jaipur,Data,1075,77.32022633,Tower_14,Postpaid,Incoming,No,Low,-88.12136133,2.496550319,215.0037748
167,1/15/2023 13:57,Hyderabad,Mumbai,Data,891,77.32760663,Tower_11,Prepaid,Incoming,Yes,High,-78.45225053,4.201054448,312.7955779
168,1/31/2022 6:38,Hyderabad,Bengaluru,Video,826,475.1603306,Tower_15,Prepaid,Outgoing,Yes,Low,-51.83652254,2.215011497,467.3596901
169,8/16/2022 4:04,Pune,Pune,Video,577,274.5229617,Tower_19,Prepaid,Outgoing,No,Medium,-66.19688277,1.462832321,240.0282373
170,11/20/2022 13:38,Hyderabad,Lucknow,Voice,394,16.31254195,Tower_9,Prepaid,Incoming,Yes,High,-59.16351185,1.959384278,126.0612923
171,5/15/2022 20:32,Lucknow,Surat,Data,46,41.86656151,Tower_11,Prepaid,Outgoing,No,High,-66.06855767,5.137133615,21.10091191
172,5/19/2022 15:25,Hyderabad,Delhi,Data,527,80.14217202,Tower_12,Postpaid,Outgoing,Yes,Medium,-51.29202447,1.047284367,208.391558
173,10/29/2022 15:46,Jaipur,Lucknow,Data,643,,Tower_17,Postpaid,Outgoing,Yes,Medium,-84.52725476,9.552136184,
174,5/13/2022 4:00,Chennai,Nagpur,Video,41,275.5314642,Tower_19,Postpaid,,No,High,-60.71100454,8.259050331,156.6029443
175,1/19/2023 12:16,Mumbai,Bengaluru,Voice,973,64.0859264,,Postpaid,Incoming,No,Low,-80.01327965,5.404824673,376.8992561
176,12/8/2023 15:33,Chennai,Delhi,,1088,94.46187463,Tower_15,Postpaid,Incoming,Yes,High,-88.23338249,6.294373813,332.403273
177,4/16/2022 23:31,Ahmedabad,Bengaluru,Video,115,458.5892658,Tower_14,Prepaid,Incoming,Yes,Low,-85.17909685,7.579213043,
178,9/24/2023 17:13,Surat,Jaipur,Data,527,42.75450331,,Prepaid,Outgoing,Yes,Medium,-60.19741808,1.493943532,160.3520276
